Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Manager - Salesforce Technical Consulting,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",Overall 10-15 years of CRM experience with a minimum of 6 years on the Salesforce platf...,"Environment management, Data migration, Coding, Consulting, Design development, SAML, Release management, CRM",https://www.naukri.com/job-listings-manager-salesforce-technical-consulting-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-10-to-15-years-030424501196
Workplace Service Delivery Senior Analyst - Financial Services,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Qualification Job Qualifications Skills and Experience: Graduate in commerce or finance...,"customer service, written communication, negotiation, writing, communication skills, vendor management, accounts payable, operations management",https://www.naukri.com/job-listings-workplace-service-delivery-senior-analyst-financial-services-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-2-to-5-years-060424908434
Application Developer,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Minimum 5 year(s) of experience is required. Educational Qualification : Minimum 15 yea...,"ssi, sap ewm, sap warehouse management, communication skills, qrfc, confluence, configuration, sql",https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-7-to-12-years-050424911066
Security Architect,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Minimum 15 year(s) of experience is required. Educational Qualification : Bachelor or c...,"threat analysis, vulnerability management, solution development, identity access management, security solutions, event management, cyber security, siem",https://www.naukri.com/job-listings-security-architect-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-15-to-20-years-050424909747
"SAP Plant Maintenance | 6 To 9 years | Bengaluru, Pune & Mumbai",Capgemini,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Candidate should have overall 6 to 9 years of working experience with relevant experien...,"Sap Plant Maintenance, SAP PM, Plant Maintenance, PM, Maintenance, SAP, Plant",https://www.naukri.com/job-listings-sap-plant-maintenance-6-to-9-years-bengaluru-pune-mumbai-capgemini-pune-bengaluru-mumbai-all-areas-6-to-9-years-050424013862
"SAP CRM Technical Consultant | 6 To 9 years | Bengaluru, Pune & Mumbai",Capgemini,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Job Description:Strong CRM Technical Skills Primary Skills:Hands on CRM WEBUI Developme...,"SAP CRM Technical, Web UI, SAP ERP, ECC, SAP CRM, Sap Fiori, SAP ABAP CRM, CRM Sales",https://www.naukri.com/job-listings-sap-crm-technical-consultant-6-to-9-years-bengaluru-pune-mumbai-capgemini-pune-bengaluru-mumbai-all-areas-6-to-9-years-050424013787
"SAP IS Retail | 6 To 9 years | Mumbai, Bengaluru & Pune",Capgemini,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Job descriptionCandidate should have overall 6 to 9 years of working experience with r...,"SAP IS-Retail, Sap Retail, Sap Car, Sap Is, Posdm, Master Data, sap is retail, Sap Isr",https://www.naukri.com/job-listings-sap-is-retail-6-to-9-years-mumbai-bengaluru-pune-capgemini-pune-bengaluru-mumbai-all-areas-6-to-9-years-050424013772
Educational Sales - Career Development - Officer/Executive/Senior,Jaro Education,6.5-9 Lacs PA (Including Variable: 25.0%),"Pune, Bengaluru, Mumbai (All Areas)",Preferred candidate profile . Any Graduate / Post Graduate - Experienced and fresher bo...,"Sales, Edtech, Pressure Handling, Adaptability, Calling, Convincing Power, Revenue Generation, Counselling",https://www.naukri.com/job-listings-educational-sales-career-development-officer-executive-senior-jaro-education-pune-bengaluru-mumbai-all-areas-0-to-5-years-040424008409
Opening For Automation Tester  For Immediate Joiners !!,Tech Mahindra,Not disclosed,"Hybrid - Mumbai, Hyderabad, Pune","Hi, We have vacancy for Automation Testing for Pune, Hyderabad , Chennai, Mumbai, Bang...","Bdd Framework, Quality, Automation Testing, Selenium, Cucumber, java, Automation, Bdd",https://www.naukri.com/job-listings-opening-for-automation-tester-for-immediate-joiners-tech-mahindra-mumbai-hyderabad-pune-4-to-8-years-040424006838
DM/Manager - Sales | Mumbai/ Bangalore/ Pune,Moglix (Mogli Labs India Pvt ltd),Not disclosed,"Mumbai Suburban, Pune, Bengaluru","l You must be comfortable making dozens of calls per day, qualifying prospects, moving ...","fintech sales, sales, Supply Chain Finance, Fintech, NBFC, Bfsi Sales, Financial Sales, Supply chain",https://www.naukri.com/job-listings-dm-manager-sales-mumbai-bangalore-pune-moglix-mogli-labs-india-pvt-ltd-mumbai-suburban-pune-bengaluru-3-to-8-years-040424001768
Application Designer,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Project Role Description : Assist in defining requirements and designing applications t...,"sap fi, accounting, business process analysis, sap s hana, e2e, project management, application design, performance appraisal",https://www.naukri.com/job-listings-application-designer-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-7-to-9-years-030424911155
GN - Strategy - MC - T&O - Instructional Design - 07,Accenture,Not disclosed,"Mumbai, Pune, Gurugram",Monitor project performance and report progress and outcomes to internal and external s...,"articulate studio, articulate, instructional design, learning management, storyline, storyboarding, project management, dreamweaver",https://www.naukri.com/job-listings-gn-strategy-mc-t-o-instructional-design-07-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-12-to-16-years-050424913965
Bid Administrator / Proposal Coordinator,Atkinsréalis,Not disclosed,"Mumbai, Pune","Prior experience in pursuits / pre-sales / bid management, project managementWorking in...","Administration, Production support, Project management, Engineering project management, Project management consultancy, Presales, Email support, Customer service",https://www.naukri.com/job-listings-bid-administrator-proposal-coordinator-atkins-realis-mumbai-pune-4-to-7-years-050424500668
Oracle Fusion SCM Functional Lead,Oracle,18-33 Lacs PA,"Hybrid - Kolkata, Mumbai, Maharashtra, Gandhinagar, Gujarat, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, Cloud, Fusion, SCM, Oracle Fusion, Oracle, Oracle Fusion SCM",https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-maharashtra-gandhinagar-gujarat-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-8-to-13-years-090823006608
Customer Service Executive - Up To 32k: Good English Required J23,Wipro,2.25-4 Lacs PA,"Kolkata, Chandigarh, Indore, Hyderabad, Bangalore Rural, Gurugram, Chennai, Jaipur, Mumbai (All Areas)",Should be flexible in 24*7 shifts Fresher can apply Graduate / Undergraduate Should hav...,"English, Inbound Process, BPO, Customer Service, Email, Calling, Outbound Process, asap",https://www.naukri.com/job-listings-customer-service-executive-up-to-32k-good-english-required-j23-wipro-kolkata-chandigarh-indore-hyderabad-bangalore-rural-gurugram-chennai-jaipur-mumbai-all-areas-0-to-5-years-100424002861
GN_Strategy_India_EVT_Consultant_CL09,Accenture,Not disclosed,"Mumbai, Gurugram, Bengaluru",Practice Overview:Enterprise Value Targeting (EVT) is Accenture's quantitative in-house...,"client engagement, business strategy, strategy consulting, operations, procurement, management consulting, project management, supply chain",https://www.naukri.com/job-listings-gn-strategy-india-evt-consultant-cl09-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-5-to-10-years-090424910749
